Component Name,Location,Category,Size (KB),Primary Purpose,Key Features,Visual Style
ChatInput.tsx,src/components/chat/,Chat Core,34,Main message input,"Lexical editor, TokenBar, Proposals, Drag-drop","Responsive, color-coded buttons"
ChatMessage.tsx,src/components/chat/,Chat Core,10,Individual message bubble,"Role diff, Streaming, Copy, Markdown, Version badge","Left/right aligned, rounded, hover effects"
MessagesList.tsx,src/components/chat/,Chat Core,14,Virtualized message list,"Virtuoso, Footer actions, Setup banner, Retry/Undo","Max 3xl container, gap-2 spacing"
StreamingLoadingAnimation.tsx,src/components/chat/,Chat Core,~3,Loading indicator,"30+ random verbs, Scramble animation","Text-based, Framer Motion, humorous"
LexicalChatInput.tsx,src/components/chat/,Chat Input,15,Rich text editor wrapper,"Multi-line, Code blocks, History, Keyboard shortcuts","Contenteditable, monospace code"
HomeChatInput.tsx,src/components/chat/,Chat Input,6,Simplified home input,"Basic text, Focus management","Minimal styling"
QuestionnaireInput.tsx,src/components/chat/,Chat Input,15,Guided questionnaire,"Questions, Multi-step, Conditional branching","Card-based layout"
ChatHeader.tsx,src/components/chat/,Chat Meta,8,Top bar with controls,"Branch display, Preview toggle, Version dropdown, LoadingBar","Compact icons, loading indicator"
ChatError.tsx,src/components/chat/,Chat Meta,1,Error alert,"AlertTriangle icon, Dismiss button","Red banner, rounded corners, shadow-sm"
ChatErrorBox.tsx,src/components/chat/,Chat Meta,7,Detailed error display,"Stack trace, Suggestions, Dismissible","Detailed, actionable"
ChatList.tsx,src/components/chat/,Chat History,14,Sidebar chat list,"Favorite toggle, Rename, Delete, Search, New chat,"Sidebar group, hover actions, timestamps"
ChatSearchDialog.tsx,src/components/chat/,Chat History,~3,Chat search modal,"Full-text search, Highlighting, Quick select","Command-based modal"
DeleteChatDialog.tsx,src/components/chat/,Chat History,~2,Delete confirmation,"Warning tone, OK/Cancel","Alert dialog"
RenameChatDialog.tsx,src/components/chat/,Chat History,~2,Rename chat modal,"Text input, OK/Cancel","Dialog, focused input"
AnyonMarkdownParser.tsx,src/components/chat/,Message Handler,20,Markdown renderer,"Custom handlers, Code blocks, Links, Tables","Specialized rendering"
TokenBar.tsx,src/components/chat/,Utility,7,Token budget display,"5-segment stacked bar, Tooltip, Percentage","Horizontal bar, color-coded segments"
AttachmentsList.tsx,src/components/chat/,File Management,~3,Attached files list,"Preview, Remove, Type badges","Compact list"
ContextFilesPicker.tsx,src/components/chat/,File Management,~3,Context file selector,"File tree, Multi-select, Size indicators","Modal with tree"
FileAttachmentDropdown.tsx,src/components/chat/,File Management,~3,Quick attach menu,"Upload, Recent, Codebase selection","Dropdown menu"
DragDropOverlay.tsx,src/components/chat/,File Management,~1,Drag-drop feedback,"Translucent overlay, Border highlight","Visual overlay"
TodoList.tsx,src/components/chat/,Utility,~3,AI todo checklist,"Checkboxes, Progress tracking","List with checkboxes"
VersionPane.tsx,src/components/chat/,Utility,10,Git history display,"Commit timeline, Revert, Author, Timestamps","Timeline view"
PromoMessage.tsx,src/components/chat/,Utility,~5,Upgrade promotion,"Feature highlight, CTA button","Card-based message"
app-sidebar.tsx,src/components/,Navigation,~5,Main app sidebar,"Logo, Nav items, ChatList, Account menu, Subscription banner,"Sidebar primitive, offcanvas"
ChatPanel.tsx,src/components/,Navigation,~8,Main chat view container,"ChatHeader, MessagesList, ChatInput, VersionPane, Preview toggle,"Flex column, PanelGroup"
AppList.tsx,src/components/,Navigation,~8,Sidebar app list,"Favorites, All apps, Search, New app, Toggle favorite,"SidebarGroup layout"
appItem.tsx,src/components/,Navigation,~2,Single app entry,"Icon/avatar, Name, Favorite toggle, Selection highlight,"Compact horizontal"
ModelPicker.tsx,src/components/,Selector,~8,LLM model selection,"Provider grouping, Search, Context window badge,"Searchable dropdown, provider headers"
ProviderSettingsPage.tsx,src/components/settings/,Settings,11,Provider configuration,"Tabs, Provider select, Model list, Tool management,"Tabbed interface"
ModelsSection.tsx,src/components/settings/,Settings,10,Language model list,"Filtering, Create/Edit, Pricing info,"Cards or rows"
ApiKeyConfiguration.tsx,src/components/settings/,Settings,8,API key management,"Masked input, Show/hide, Validation, Save,"Input with toggle"
ToolsMcpSettings.tsx,src/components/settings/,Settings,18,MCP tool management,"Tool list, Enable/disable, Inspection, Output preview,"Checklist, expandable"
PreviewPanel.tsx,src/components/preview_panel/,Preview,7,Main preview container,"Tabs, Console, PanelGroup, Run/stop buttons,"Tabbed, resizable"
PreviewIframe.tsx,src/components/preview_panel/,Preview,53,App preview in iframe,"Sandbox, Live reload, Visual editing, Component inspection,"Full viewport iframe"
VisualEditingToolbar.tsx,src/components/preview_panel/,Preview,17,CSS property editor,"Color picker, Font/size, Layout controls,"Horizontal toolbar, icon buttons"
Console.tsx,src/components/preview_panel/,Preview,11,Collapsible console output,"Log entries, Filtering, Scroll, Clear, Search,"Terminal-like, color-coded"
FileTree.tsx,src/components/preview_panel/,Preview,13,Project file browser,"Hierarchical tree, Expand/collapse, File icons,"Indented tree structure"
FileEditor.tsx,src/components/preview_panel/,Preview,8,In-preview code editor,"Monaco integration, Save, Syntax highlighting,"Full editor interface"
Problems.tsx,src/components/preview_panel/,Preview,9,Error/warning list,"Severity badges, File+line refs, Quick fix, Filter,"Scrollable list, color-coded"
PublishPanel.tsx,src/components/preview_panel/,Preview,7,Deploy/publish UI,"Target selector, Deploy button, Status, Logs,"Form + status display"
SecurityPanel.tsx,src/components/preview_panel/,Preview,32,Permissions & security audit,"Permission checklist, Vulnerability summary, CORS warnings,"Cards, warning colors"
AccountMenu.tsx,src/components/auth/,Auth,4,User account dropdown,"Profile, Settings, Logout, Plan info,"Dropdown menu, avatar"
LoginDialog.tsx,src/components/auth/,Auth,5,Login/signup modal,"Email input, OAuth buttons, Loading, Error,"Centered modal, social buttons"
SubscriptionBanner.tsx,src/components/subscription/,Subscription,4,Plan/trial banner,"Plan display, Upgrade button, Trial countdown,"Info banner, color-coded"
CheckoutPlanDialog.tsx,src/components/subscription/,Subscription,~4,Upgrade/purchase flow,"Plan comparison, Payment form, Confirmation,"Modal with plan cards"
CreateAppDialog.tsx,src/components/,Dialog,~5,App creation wizard,"App name, Template select, Git repo option,"Modal with form"
ImportAppDialog.tsx,src/components/,Dialog,~5,Import app modal,"Repo URL, Local picker, Progress,"Modal with validation"
AppSearchDialog.tsx,src/components/,Dialog,~3,App search modal,"Full-text search, Quick select,"Command-based modal"
HelpDialog.tsx,src/components/,Dialog,~3,Help/docs modal,"FAQ, Doc links, Version info,"Info modal"
CustomThemeDialog.tsx,src/components/,Dialog,~5,Theme editor modal,"Color picker, Preview, Save/cancel,"Modal with color controls"
BugScreenshotDialog.tsx,src/components/,Dialog,~4,Bug report modal,"Screenshot preview, Description, Auto-logs,"Modal with image preview"
